reportDate,date,beforeAfterMarket,currency,epsActual,epsEstimate,epsDifference,surprisePercent,ticker,exchange,companyName
2023-03-01,2022-12-31,,AUD,0.0,-0.015,0.015,100.0,WEB,AU,Travel Group limitedD
2022-11-17,2022-09-30,BeforeMarket,AUD,0.01,-0.015,0.025,166.6667,WEB,AU,Travel Group limitedD
2022-08-31,2022-06-30,,AUD,0.0,0.08,-0.08,-100.0,WEB,AU,Travel Group limitedD
2022-03-02,2021-12-31,,AUD,0.0,-0.15,0.15,100.0,WEB,AU,Travel Group limitedD
2021-09-01,2021-06-30,,AUD,0.0,-0.075,0.075,100.0,WEB,AU,Travel Group limitedD
2021-05-19,2021-03-31,,AUD,-0.07,0.05,-0.12,-240.0,WEB,AU,Travel Group limitedD
2021-02-16,2020-12-31,,AUD,-0.15,0.2759,-0.4259,-154.3675,WEB,AU,Travel Group limitedD
2020-08-19,2020-06-30,,AUD,-0.94,0.05,-0.99,-1980.0,WEB,AU,Travel Group limitedD
2020-02-18,2019-12-31,,AUD,0.4,0.1888,0.2112,111.8644,WEB,AU,Travel Group limitedD
2018-02-22,2017-12-31,,AUD,0.16,0.1628,-0.0028,-1.7199,WEB,AU,Travel Group limitedD
2017-08-31,2017-06-30,,AUD,0.19,0.1345,0.0555,41.2639,WEB,AU,Travel Group limitedD
2017-02-23,2016-12-31,,AUD,0.2,0.1046,0.0954,91.2046,WEB,AU,Travel Group limitedD
2016-08-18,2016-06-30,,AUD,0.2,0.085,0.115,135.2941,WEB,AU,Travel Group limitedD
2016-02-18,2015-12-31,,AUD,0.13,0.092,0.038,41.3043,WEB,AU,Travel Group limitedD
2015-08-20,2015-06-30,,AUD,0.12,0.0732,0.0468,63.9344,WEB,AU,Travel Group limitedD
2015-02-19,2014-12-31,,AUD,0.12,0.0821,0.0379,46.1632,WEB,AU,Travel Group limitedD
2014-08-20,2014-06-30,,AUD,0.13,0.112,0.018,16.0714,WEB,AU,Travel Group limitedD
2014-02-13,2013-12-31,,AUD,0.13,0.0749,0.0551,73.5648,WEB,AU,Travel Group limitedD
2025-08-20,2025-06-30,BeforeMarket,,0.08,0.09,-0.01,-11.1111,TLC,AU,Lottery Corporation LimitedD
2025-02-18,2024-12-31,,,0.04,8.7,-8.66,-99.5402,TLC,AU,Lottery Corporation LimitedD
2022-08-23,2022-06-30,,AUD,0.07,0.085,-0.015,-17.6471,TLC,AU,Lottery Corporation LimitedD
2025-02-19,2024-12-31,,,0.01,0.03,-0.02,-66.6667,TAH,AU,Tabcorp Holdings LimitedD
2024-08-28,2024-06-30,,,0.0,0.01,-0.01,-100.0,TAH,AU,Tabcorp Holdings LimitedD
2024-02-21,2023-12-31,,,0.0,0.0185,-0.0185,-100.0,TAH,AU,Tabcorp Holdings LimitedD
2023-08-24,2023-06-30,AfterMarket,AUD,0.0,0.008,-0.008,-100.0,TAH,AU,Tabcorp Holdings LimitedD
2023-02-21,2022-12-31,AfterMarket,AUD,0.02,0.08,-0.06,-75.0,TAH,AU,Tabcorp Holdings LimitedD
2022-08-23,2022-06-30,AfterMarket,AUD,-0.05,0.082,-0.132,-160.9756,TAH,AU,Tabcorp Holdings LimitedD
2022-02-16,2021-12-31,AfterMarket,AUD,0.08,0.085,-0.005,-5.8824,TAH,AU,Tabcorp Holdings LimitedD
2021-08-17,2021-06-30,,AUD,0.04,0.08,-0.04,-50.0,TAH,AU,Tabcorp Holdings LimitedD
2021-02-16,2020-12-31,,AUD,0.09,0.109,-0.019,-17.4312,TAH,AU,Tabcorp Holdings LimitedD
2020-10-27,2020-09-30,,AUD,0.0,0.0003,-0.0003,-100.0,TAH,AU,Tabcorp Holdings LimitedD
2020-08-18,2020-06-30,,AUD,-0.53,0.02,-0.55,-2750.0,TAH,AU,Tabcorp Holdings LimitedD
2020-02-18,2019-12-31,,AUD,0.1,0.11,-0.01,-9.0909,TAH,AU,Tabcorp Holdings LimitedD
2019-08-13,2019-06-30,,AUD,0.09,0.0893,0.0007,0.7839,TAH,AU,Tabcorp Holdings LimitedD
2019-02-12,2018-12-31,,AUD,0.09,0.0833,0.0067,8.0432,TAH,AU,Tabcorp Holdings LimitedD
2018-08-07,2018-06-30,,AUD,0.03,0.0792,-0.0492,-62.1212,TAH,AU,Tabcorp Holdings LimitedD
2018-02-07,2017-12-31,,AUD,0.03,0.1189,-0.0889,-74.7687,TAH,AU,Tabcorp Holdings LimitedD
2017-08-03,2017-06-30,,AUD,-0.1,0.0891,-0.1891,-212.2334,TAH,AU,Tabcorp Holdings LimitedD
2017-02-01,2016-12-31,,AUD,0.07,0.1189,-0.0489,-41.127,TAH,AU,Tabcorp Holdings LimitedD
2016-08-04,2016-06-30,,AUD,0.11,0.0991,0.0109,10.999,TAH,AU,Tabcorp Holdings LimitedD
2016-02-04,2015-12-31,,AUD,0.1,0.1111,-0.0111,-9.991,TAH,AU,Tabcorp Holdings LimitedD
2015-08-13,2015-06-30,,AUD,0.0,0.0891,-0.0891,-100.0,TAH,AU,Tabcorp Holdings LimitedD
2015-02-05,2014-12-31,,AUD,0.0,0.0997,-0.0997,-100.0,TAH,AU,Tabcorp Holdings LimitedD
2014-08-07,2014-06-30,,AUD,0.0,0.0921,-0.0921,-100.0,TAH,AU,Tabcorp Holdings LimitedD
2014-02-06,2013-12-31,,AUD,0.0,0.0009,-0.0009,-100.0,TAH,AU,Tabcorp Holdings LimitedD
2025-08-19,2025-06-30,,,0.0,0.62,-0.62,-100.0,SPZ,AU,Smart Parking LimitedD
2025-02-27,2024-12-31,,,-0.01,0.75,-0.76,-101.3333,SHJ,AU,Shine Justice Ltd.D
2020-02-27,2019-12-31,,AUD,0.05,0.05,0.0,0.0,SHJ,AU,Shine Justice Ltd.D
2019-08-27,2019-06-30,,AUD,0.07,0.08,-0.01,-12.5,SHJ,AU,Shine Justice Ltd.D
2017-02-28,2016-12-31,,AUD,0.02,0.07,-0.05,-71.4286,SHJ,AU,Shine Justice Ltd.D
2016-02-23,2015-12-31,,AUD,0.01,0.08,-0.07,-87.5,SHJ,AU,Shine Justice Ltd.D
2025-04-15,2025-03-31,,,-0.05,0.008,-0.058,-725.0,SGR,AU,Star Entertainment Group LimitedD
2024-08-30,2024-06-30,,,0.0,0.009,-0.009,-100.0,SGR,AU,Star Entertainment Group LimitedD
2024-02-28,2023-12-31,,,0.0,0.0426,-0.0426,-100.0,SGR,AU,Star Entertainment Group LimitedD
2023-08-29,2023-06-30,BeforeMarket,AUD,0.0,0.005,-0.005,-100.0,SGR,AU,Star Entertainment Group LimitedD
2023-02-23,2022-12-31,BeforeMarket,AUD,-1.33,-0.068,-1.262,-1855.8824,SGR,AU,Star Entertainment Group LimitedD
2022-08-22,2022-06-30,,AUD,-0.13,1.057,-1.187,-112.299,SGR,AU,Star Entertainment Group LimitedD
2022-02-16,2021-12-31,AfterMarket,AUD,-0.08,0.05,-0.13,-260.0,SGR,AU,Star Entertainment Group LimitedD
2021-08-18,2021-06-30,,AUD,0.06,0.06,0.0,0.0,SGR,AU,Star Entertainment Group LimitedD
2021-02-17,2020-12-31,,AUD,0.05,0.14,-0.09,-64.2857,SGR,AU,Star Entertainment Group LimitedD
2020-08-19,2020-06-30,,AUD,-0.19,-0.0003,-0.1897,-63233.3333,SGR,AU,Star Entertainment Group LimitedD
2020-02-19,2019-12-31,,AUD,0.14,0.0014,0.1386,9900.0,SGR,AU,Star Entertainment Group LimitedD
2019-08-15,2019-06-30,,AUD,0.08,0.1,-0.02,-20.0,SGR,AU,Star Entertainment Group LimitedD
2019-02-20,2018-12-31,,AUD,0.16,0.1467,0.0133,9.0661,SGR,AU,Star Entertainment Group LimitedD
2018-08-23,2018-06-30,,AUD,0.16,0.0013,0.1587,12207.6923,SGR,AU,Star Entertainment Group LimitedD
2018-02-15,2017-12-31,,AUD,0.15,0.0015,0.1485,9900.0,SGR,AU,Star Entertainment Group LimitedD
2017-08-22,2017-06-30,,AUD,0.2,0.12,0.08,66.6667,SGR,AU,Star Entertainment Group LimitedD
2017-02-16,2016-12-31,,AUD,0.13,0.135,-0.005,-3.7037,SGR,AU,Star Entertainment Group LimitedD
2016-08-26,2016-06-30,,AUD,0.12,0.12,0.0,0.0,SGR,AU,Star Entertainment Group LimitedD
2016-02-16,2015-12-31,,AUD,0.17,0.1267,0.0433,34.1752,SGR,AU,Star Entertainment Group LimitedD
2015-08-12,2015-06-30,,AUD,0.17,0.095,0.075,78.9474,SGR,AU,Star Entertainment Group LimitedD
2015-02-04,2014-12-31,,AUD,0.14,0.0813,0.0587,72.2017,SGR,AU,Star Entertainment Group LimitedD
2014-08-13,2014-06-30,,AUD,0.14,0.0985,0.0415,42.132,SGR,AU,Star Entertainment Group LimitedD
2014-02-05,2013-12-31,,AUD,0.09,0.067,0.023,34.3284,SGR,AU,Star Entertainment Group LimitedD
2025-02-18,2024-12-31,,,0.11,0.43,-0.32,-74.4186,RFG,AU,Retail Food Group LimitedD
2022-08-24,2022-06-30,BeforeMarket,AUD,0.0,0.37,-0.37,-100.0,RFG,AU,Retail Food Group LimitedD
2017-02-23,2016-12-31,,AUD,0.19,0.2,-0.01,-5.0,RFG,AU,Retail Food Group LimitedD
2016-02-03,2015-12-31,,AUD,0.18,0.13,0.05,38.4615,RFG,AU,Retail Food Group LimitedD
2014-08-28,2014-06-30,,AUD,0.17,0.15,0.02,13.3333,RFG,AU,Retail Food Group LimitedD
2014-02-28,2013-12-31,,AUD,0.14,0.0012,0.1388,11566.6667,RFG,AU,Retail Food Group LimitedD
2025-09-24,2025-07-31,,,0.27,0.56,-0.29,-51.7857,PMV,AU,Premier Investments LimitedD
2025-03-20,2025-01-31,,,0.63,0.99,-0.36,-36.3636,PMV,AU,Premier Investments LimitedD
2024-09-23,2024-07-31,,,0.0,0.6,-0.6,-100.0,PMV,AU,Premier Investments LimitedD
2024-03-25,2024-01-31,,,0.0,1.0,-1.0,-100.0,PMV,AU,Premier Investments LimitedD
2023-09-28,2023-07-31,BeforeMarket,AUD,0.0,0.58,-0.58,-100.0,PMV,AU,Premier Investments LimitedD
2023-03-27,2023-01-31,BeforeMarket,AUD,1.09,1.02,0.07,6.8627,PMV,AU,Premier Investments LimitedD
2022-09-29,2022-07-31,BeforeMarket,AUD,0.76,0.35,0.41,117.1429,PMV,AU,Premier Investments LimitedD
2022-03-24,2022-01-31,AfterMarket,AUD,1.02,0.92,0.1,10.8696,PMV,AU,Premier Investments LimitedD
2021-09-22,2021-07-31,,AUD,0.52,0.0034,0.5166,15194.1176,PMV,AU,Premier Investments LimitedD
2021-03-23,2021-01-31,,AUD,1.18,0.0062,1.1738,18932.2581,PMV,AU,Premier Investments LimitedD
2020-09-24,2020-07-31,,AUD,0.63,-0.003,0.633,21100.0,PMV,AU,Premier Investments LimitedD
2020-03-19,2020-01-31,,AUD,0.63,0.0058,0.6242,10762.069,PMV,AU,Premier Investments LimitedD
2019-09-19,2019-07-31,,AUD,0.23,0.0025,0.2275,9100.0,PMV,AU,Premier Investments LimitedD
2019-03-20,2019-01-31,,AUD,0.56,0.54,0.02,3.7037,PMV,AU,Premier Investments LimitedD
2018-09-19,2018-07-31,,AUD,0.24,0.0024,0.2376,9900.0,PMV,AU,Premier Investments LimitedD
2018-03-15,2018-01-31,,AUD,0.52,0.0062,0.5138,8287.0968,PMV,AU,Premier Investments LimitedD
2017-09-24,2017-07-31,,AUD,0.52,0.23,0.29,126.087,PMV,AU,Premier Investments LimitedD
2017-03-21,2017-01-31,,AUD,0.47,0.47,0.0,0.0,PMV,AU,Premier Investments LimitedD
2016-09-22,2016-07-31,,AUD,0.22,0.24,-0.02,-8.3333,PMV,AU,Premier Investments LimitedD
2016-03-18,2016-01-31,,AUD,0.22,0.4,-0.18,-45.0,PMV,AU,Premier Investments LimitedD
2015-09-15,2015-07-31,,AUD,0.21,0.239,-0.029,-12.1339,PMV,AU,Premier Investments LimitedD
2015-03-23,2015-01-31,,AUD,0.21,0.36,-0.15,-41.6667,PMV,AU,Premier Investments LimitedD
2014-09-17,2014-07-31,,AUD,0.36,0.24,0.12,50.0,PMV,AU,Premier Investments LimitedD
2014-03-25,2014-01-31,,AUD,0.17,0.33,-0.16,-48.4848,PMV,AU,Premier Investments LimitedD
2023-08-24,2023-06-30,BeforeMarket,AUD,0.0,0.082,-0.082,-100.0,PFP,AU,Propel Funeral Partners Ltd.D
2025-02-25,2024-12-31,,,-0.05,-0.43,0.38,88.3721,PBH,AU,PointsBet Holdings Ltd.D
2024-08-21,2024-06-30,,,0.0,-0.27,0.27,100.0,PBH,AU,PointsBet Holdings Ltd.D
2024-02-25,2023-12-31,,,0.0,-0.47,0.47,100.0,PBH,AU,PointsBet Holdings Ltd.D
2023-08-30,2023-06-30,AfterMarket,AUD,0.0,-0.32,0.32,100.0,PBH,AU,PointsBet Holdings Ltd.D
2023-02-27,2022-12-31,AfterMarket,AUD,-0.58,-0.3621,-0.2179,-60.1767,PBH,AU,PointsBet Holdings Ltd.D
2022-08-30,2022-06-30,AfterMarket,AUD,-0.46,-0.43,-0.03,-6.9767,PBH,AU,PointsBet Holdings Ltd.D
2021-08-30,2021-06-30,AfterMarket,AUD,-0.48,-0.559,0.079,14.1324,PBH,AU,PointsBet Holdings Ltd.D
2025-08-17,2025-06-30,AfterMarket,,0.15,0.14,0.01,7.1429,MAD,AU,Mader Group LtdD
2025-02-24,2024-12-31,,,0.12,0.117,0.003,2.5641,MAD,AU,Mader Group LtdD
2024-08-19,2024-06-30,,,0.0,0.1195,-0.1195,-100.0,MAD,AU,Mader Group LtdD
2024-02-18,2023-12-31,,,0.0,0.0875,-0.0875,-100.0,MAD,AU,Mader Group LtdD
2023-08-22,2023-06-30,AfterMarket,AUD,0.0,0.0995,-0.0995,-100.0,MAD,AU,Mader Group LtdD
2022-08-23,2022-06-30,,AUD,0.08,0.07,0.01,14.2857,MAD,AU,Mader Group LtdD
2025-11-05,2025-09-30,AfterMarket,,1.34,1.55,-0.21,-13.5484,LNW,AU,"Light & Wonder, Inc. Shs Chess Depository Interests Repr 1 ShDDR"
