keyword,parent,company,funnel,until_date,status,date_range_start,date_range_end,data_points
constantin film,mister car wash,Highlight Communications AGD,branded,2010-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
team marketing,mister car wash,Highlight Communications AGD,branded,2010-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
highlight event & entertainment,answear,Highlight Communications AGD,branded,2010-09-30,NOT_NORMALIZED,,,0
constantin television,sandro,Highlight Communications AGD,branded,2010-09-30,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
basic-fit,answear,Basic-Fit NVD,branded,2010-01-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
rightmove,sandro,Rightmove plc,branded,2013-12-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
sam's town las vegas,under armour,Boyd Gaming Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
suncoast hotel and casino,card factory,Boyd Gaming Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
california hotel and casino,answear,Boyd Gaming Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
fremont hotel and casino,card factory,Boyd Gaming Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
main street station casino brewery and hotel,under armour,Boyd Gaming Corporation,branded,2010-03-31,success,2021-01-30 02:00:00+02:00,2026-01-24 02:00:00+02:00,261
gold coast hotel and casino,card factory,Boyd Gaming Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
orleans hotel and casino,answear,Boyd Gaming Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
aliante casino hotel spa,trustpilot,Boyd Gaming Corporation,branded,2010-03-31,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517
cannery casino hotel,american eagle outfitters,Boyd Gaming Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
eastside cannery casino & hotel,boot barn,Boyd Gaming Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
jokers wild casino,card factory,Boyd Gaming Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
eldorado casino henderson,answear,Boyd Gaming Corporation,branded,2010-03-31,success,2011-04-09 03:00:00+03:00,2026-01-24 02:00:00+02:00,773
blue chip casino hotel spa,trustpilot,Boyd Gaming Corporation,branded,2010-03-31,success,2016-03-05 02:00:00+02:00,2026-01-24 02:00:00+02:00,517
